,price,bedrooms,sqft_living,floors,condition
0,313000.0,3.0,1340,1.5,3
1,2384000.0,5.0,3650,2.0,5
2,342000.0,3.0,1930,1.0,4
3,420000.0,3.0,2000,1.0,4
4,550000.0,4.0,1940,1.0,4
5,490000.0,2.0,880,1.0,3
6,335000.0,2.0,1350,1.0,3
7,482000.0,4.0,2710,2.0,3
8,452500.0,3.0,2430,1.0,4
9,640000.0,4.0,1520,1.5,3
10,463000.0,3.0,1710,1.0,3
11,1400000.0,4.0,2920,1.5,5
12,588500.0,3.0,2330,1.0,3
13,365000.0,3.0,1090,1.0,4
14,1200000.0,5.0,2910,1.5,3
15,242500.0,3.0,1200,1.0,4
16,419000.0,3.0,1570,1.0,4
17,367500.0,4.0,3110,2.0,3
18,257950.0,3.0,1370,1.0,3
19,275000.0,3.0,1180,1.0,3
20,750000.0,3.0,2240,2.0,5
21,435000.0,4.0,1450,1.0,4
22,626000.0,3.0,1750,2.5,3
23,612500.0,4.0,2730,2.0,3
24,495000.0,4.0,1600,1.0,3
25,285000.0,3.0,2090,1.0,4
26,615000.0,3.0,2360,1.0,4
27,698000.0,4.0,2200,1.5,5
28,675000.0,5.0,2820,2.0,3
29,790000.0,3.0,2600,1.0,4
30,382500.0,4.0,1560,1.0,4
31,499950.0,4.0,2860,2.0,3
32,650000.0,4.0,1820,1.5,3
33,625000.0,4.0,2820,2.0,3
34,400000.0,4.0,3630,1.5,3
35,604000.0,3.0,3240,2.0,3
36,440000.0,2.0,800,1.0,4
37,287200.0,3.0,1850,1.0,4
38,403000.0,3.0,1960,1.0,5
39,750000.0,3.0,2390,1.0,4
40,335000.0,3.0,1580,1.0,4
41,260000.0,4.0,1480,1.0,4
42,308500.0,2.0,850,1.0,4
43,439950.0,3.0,1770,2.0,3
44,235000.0,2.0,1210,1.0,2
45,315000.0,3.0,1160,1.0,3
46,437500.0,3.0,1970,2.0,4
47,407500.0,3.0,1930,2.0,3
48,445700.0,3.0,1270,3.0,3
49,838000.0,4.0,3310,2.0,3
50,630000.0,4.0,2710,2.0,3
51,550000.0,3.0,2910,1.5,3
52,805000.0,3.0,2710,1.5,4
53,284000.0,3.0,1800,1.0,3
54,470000.0,5.0,2210,1.0,3
55,430000.0,4.0,1920,1.0,4
56,491500.0,4.0,2190,1.0,3
57,785000.0,5.0,3660,2.0,3
58,385000.0,3.0,1320,2.0,3
59,295000.0,2.0,1630,2.0,3
60,555000.0,4.0,3310,2.0,3
61,459990.0,3.0,2680,2.0,3
62,625000.0,4.0,2730,1.0,3
63,300000.0,3.0,2540,2.0,3
64,625000.0,4.0,2920,2.0,3
65,553000.0,2.0,900,1.0,3
66,379880.0,3.0,1650,1.0,4
67,310000.0,3.0,1010,1.0,4
68,775000.0,2.0,2680,1.0,3
69,365000.0,3.0,2200,1.0,5
70,331950.0,4.0,2530,2.0,3
71,783500.0,3.0,2850,2.0,3
72,628000.0,4.0,2280,1.0,3
73,560000.0,3.0,1900,2.0,3
74,900000.0,3.0,1330,1.0,3
75,531000.0,2.0,1270,2.0,3
76,831000.0,4.0,2170,2.0,4
77,780000.0,4.0,2730,2.0,3
78,755000.0,4.0,2120,1.0,4
79,705380.0,3.0,2490,2.0,3
80,627000.0,4.0,1990,1.0,3
81,865000.0,4.0,3690,2.0,3
82,580000.0,2.0,2540,1.0,5
83,410000.0,3.0,1800,1.0,4
84,485000.0,4.0,2340,1.0,4
85,400000.0,2.0,2110,1.0,2
86,549000.0,2.0,1140,1.0,5
87,620000.0,3.0,1480,2.5,3
88,405000.0,2.0,1410,2.0,3
89,232000.0,2.0,1200,1.0,4
90,800866.0,5.0,3180,2.0,4
91,650000.0,3.0,2160,1.0,4
92,823000.0,6.0,2920,2.5,4
93,770000.0,3.0,2350,1.5,4
94,524000.0,3.0,1560,1.0,4
95,541125.0,5.0,2740,1.0,4
96,670000.0,3.0,1680,3.0,3
97,384900.0,5.0,3090,1.0,3
98,406100.0,3.0,1410,3.0,3
99,1395000.0,5.0,4010,2.0,5
100,736500.0,4.0,3180,2.0,3
101,570000.0,3.0,2010,1.0,3
102,787000.0,3.0,1330,1.0,3
103,328000.0,4.0,2370,2.0,3
104,435000.0,5.0,1840,1.0,4
105,499000.0,4.0,2910,2.0,3
106,501000.0,4.0,2070,1.0,3
107,1090000.0,4.0,4340,2.5,3
108,400000.0,2.0,840,1.0,3
109,220000.0,4.0,1240,1.0,3
110,657100.0,4.0,1390,1.0,3
111,309950.0,4.0,2310,2.0,3
112,300000.0,3.0,1050,1.0,3
113,525888.0,5.0,2550,1.0,5
114,740000.0,4.0,2010,1.5,3
115,340000.0,5.0,1120,1.5,4
116,398750.0,3.0,2230,2.0,3
117,206000.0,2.0,810,1.0,5
118,1030000.0,5.0,3190,1.0,3
119,600000.0,3.0,1670,1.0,4
120,379950.0,4.0,1970,1.0,5
121,287000.0,3.0,1450,1.0,4
122,2280000.0,7.0,13540,3.0,3
123,309950.0,3.0,1880,2.0,3
124,600000.0,3.0,1880,1.0,4
125,418000.0,3.0,1410,1.5,4
126,449250.0,4.0,1480,1.5,5
127,329950.0,2.0,1140,1.5,4
128,245000.0,3.0,1920,1.0,3
129,549000.0,4.0,2910,2.0,3
130,800000.0,3.0,3240,2.0,3
131,249950.0,3.0,1550,1.0,4
132,210000.0,5.0,2050,1.0,3
133,1425000.0,2.0,2220,2.0,3
134,585000.0,2.0,1770,1.5,3
135,615000.0,4.0,2300,1.0,4
136,618500.0,3.0,1800,1.0,4
137,487585.0,4.0,2010,1.0,3
138,509900.0,3.0,1790,2.0,3
139,631625.0,4.0,2440,2.0,3
140,555000.0,3.0,1940,2.0,3
141,340000.0,2.0,1160,2.0,3
142,830000.0,4.0,3400,2.0,3
143,890000.0,4.0,4420,2.0,3
144,366750.0,3.0,1571,3.0,3
145,415000.0,3.0,1620,2.5,3
146,416286.0,3.0,1408,3.0,3
147,478000.0,3.0,3040,2.0,3
148,890000.0,5.0,4490,2.0,3
149,419190.0,2.0,1590,2.0,3
150,712198.0,4.0,2450,2.0,3
151,397000.0,4.0,1440,1.0,3
152,450000.0,2.0,1100,1.5,3
153,353000.0,3.0,1350,1.0,4
154,609000.0,4.0,2150,2.0,3
155,234000.0,3.0,1490,1.0,4
156,561000.0,3.0,2000,2.0,3
157,469000.0,2.0,1030,1.0,3
158,329350.0,2.0,720,1.0,3
159,488000.0,5.0,2020,1.5,4
160,279900.0,3.0,1580,1.0,4
161,606000.0,4.0,2110,2.0,3
162,312000.0,4.0,1300,1.0,3
163,650000.0,3.0,1630,1.0,3
164,1135000.0,4.0,3370,1.0,3
165,325000.0,4.0,1890,1.0,3
166,425000.0,4.0,1520,1.0,5
167,219000.0,2.0,900,1.0,3
168,250000.0,3.0,1050,1.0,3
169,390000.0,3.0,1260,1.0,4
170,475000.0,6.0,3470,1.5,3
171,736000.0,4.0,2290,2.0,4
172,407000.0,4.0,2810,1.0,3
173,272000.0,3.0,1650,2.0,3
174,362000.0,3.0,1640,1.0,4
175,535000.0,3.0,1850,2.0,3
176,284000.0,4.0,2000,2.0,3
177,367500.0,3.0,1410,1.0,3
178,379900.0,4.0,1500,1.0,4
179,520000.0,3.0,2460,2.0,4
180,175000.0,3.0,1010,1.0,3
181,460000.0,2.0,1230,2.0,3
182,345000.0,4.0,2331,2.0,3
183,455000.0,5.0,2240,1.0,3
184,610000.0,4.0,2450,1.0,5
185,563000.0,4.0,3100,2.0,3
186,612500.0,4.0,2060,1.0,3
187,218000.0,3.0,1850,1.0,3
188,404000.0,4.0,1840,1.0,3
189,860000.0,4.0,3740,2.0,3
190,136500.0,3.0,1420,1.0,3
191,313950.0,3.0,1510,1.0,4
192,575000.0,3.0,2130,1.0,3
193,1225000.0,4.0,3490,2.0,4
194,280000.0,3.0,1630,1.0,4
195,515000.0,3.0,1790,2.0,3
196,513000.0,4.0,2000,2.0,3
197,599000.0,4.0,2260,2.0,4
198,685000.0,4.0,3030,2.0,3
199,365000.0,3.0,1310,1.0,3
200,762300.0,4.0,3880,2.0,3
201,1580000.0,4.0,3760,1.5,5
202,562000.0,5.0,3040,2.0,3
203,530000.0,5.0,2910,1.0,4
